OTU_SEQID,BLAST_SPECIES,BLAST_NCBI_TAXID,BLAST_IDENTITY,IS_PREDATOR,SAP_SPECIES,SAP_NCBI_TAXID,SpeciesLevel,SpeciesCount,SpeciesProbMax,SpeciesProbMin,HomologuesToAnalyzeCount,HomologuesSuspiciousRecordsCount,HomologueCount,DatabaseNotExhausted,IS_MATCH
MISEQ01:3:000000000-ALULJ:1:1112:19338:11134_CONS_SUB_SUB,Thysanopoda tricuspidata,169012,97.43,FALSE,,6681,False,1,0.039,0.039,2,1,6,False,FALSE
MISEQ01:3:000000000-ALULJ:1:1112:5836:15252_CONS_SUB_SUB_CMP,Fusarium babinda,48486,99.36,FALSE,,5506,False,5,0.165,0.02,26,0,50,False,FALSE
MISEQ01:3:000000000-ALULJ:1:1113:21956:7457_CONS_SUB_SUB,Cavolinia uncinata,723186,99.68,FALSE,Cavolinia uncinata,356471,True,1,0.733,0.733,3,0,8,False,TRUE
MISEQ01:3:000000000-ALULJ:1:1113:4221:11403_CONS_SUB_SUB,Cladosporium tenuissimum,70808,98.71,FALSE,Cladosporium tenuissimum,70808,True,3,0.679,0.004,3,3,46,False,TRUE
MISEQ01:3:000000000-ALULJ:1:1113:7580:7779_CONS_SUB_SUB,Hepatus pudibundus,1531956,98.72,FALSE,Hepatus pudibundus,1531956,True,2,0.988,0.002,1,0,42,False,TRUE
MISEQ01:3:000000000-ALULJ:1:1114:17070:5246_CONS_SUB_SUB_CMP,Etropus crossotus,253860,99.68,FALSE,Etropus crossotus,253860,True,1,0.997,0.997,1,0,6,False,TRUE
MISEQ01:3:000000000-ALULJ:1:1114:19470:13891_CONS_SUB_SUB,Glyptoplax smithii,576830,97.61,FALSE,Glyptoplax smithii,576830,True,1,0.989,0.989,1,0,48,False,TRUE
MISEQ01:3:000000000-ALULJ:1:1114:25651:20286_CONS_SUB_SUB_CMP,Callinectes similis,53942,99.67,FALSE,,6762,False,2,0.485,0.446,3,1,14,False,FALSE
MISEQ01:3:000000000-ALULJ:1:2101:16028:22992_CONS_SUB_SUB,Palaemonidae sp. BOLD:ACQ7879,1629301,98.4,FALSE,,6695,False,3,0.278,0.111,7,0,8,False,FALSE
MISEQ01:3:000000000-ALULJ:1:2101:7489:16295_CONS_SUB_SUB_CMP,Homo sapiens,9606,100,FALSE,Homo sapiens,9606,True,1,1,1,1,0,6,False,TRUE
MISEQ01:3:000000000-ALULJ:1:2102:13851:23625_CONS_SUB_SUB,Rhodotorula taiwanensis,1246992,97.44,FALSE,Rhodotorula taiwanensis,741276,True,1,0.994,0.994,1,0,6,False,TRUE
MISEQ01:3:000000000-ALULJ:1:2104:16882:26552_CONS_SUB_SUB,Brevoortia tyrannus,224708,99.36,FALSE,,7711,False,2,0.754,0.07,4,2,15,False,FALSE
MISEQ01:3:000000000-ALULJ:1:2104:18376:12255_CONS_SUB_SUB,Calamus proridens,1469963,100,TRUE,,7711,False,2,0.662,0.182,10,5,48,False,FALSE
MISEQ01:3:000000000-ALULJ:1:2104:21764:11641_CONS_SUB_SUB_CMP,Persephona mediterranea,1240050,98.97,FALSE,Persephona mediterranea,1240050,True,1,0.992,0.992,1,0,21,False,TRUE
MISEQ01:3:000000000-ALULJ:1:2104:5565:7163_CONS_SUB_SUB,Temora turbinata,749012,99.68,FALSE,,6833,False,2,0.275,0.264,2,2,6,True,FALSE
MISEQ01:3:000000000-ALULJ:1:2105:11385:17462_CONS_SUB_SUB,Parapenaeus politus,290893,100,FALSE,Parapenaeus politus,290893,True,3,0.835,0.005,3,0,16,False,TRUE
MISEQ01:3:000000000-ALULJ:1:2105:12645:20335_CONS_SUB_SUB,Symphurus civitatium,722569,98.4,FALSE,Symphurus civitatium,722569,True,2,0.845,0.08,2,0,6,False,TRUE
MISEQ01:3:000000000-ALULJ:1:2105:13021:13000_CONS_SUB_SUB,Canis lupus,9615,100,FALSE,,9611,False,6,0.992,0.004,8,1,19,True,FALSE
MISEQ01:3:000000000-ALULJ:1:2105:20206:4691_CONS_SUB_SUB,Portunus gibbesii,372818,99.68,FALSE,Achelous gibbesii,372818,True,3,0.543,0.001,2,0,22,False,FALSE
MISEQ01:3:000000000-ALULJ:1:2106:13017:5064_CONS_SUB_SUB,Sparisoma aurofrenatum,59663,100,FALSE,,7711,False,4,0.149,0.13,4,2,36,False,FALSE
MISEQ01:3:000000000-ALULJ:1:2106:9298:19358_CONS_SUB_SUB,Prionotus alatus,1459834,100,FALSE,Prionotus alatus,1459834,True,1,1,1,1,0,6,False,TRUE
MISEQ01:3:000000000-ALULJ:1:2107:11552:27114_CONS_SUB_SUB,Mugil curema,48194,100,FALSE,,8189,False,6,0.177,0.002,7,1,20,False,FALSE
MISEQ01:3:000000000-ALULJ:1:2107:15681:25912_CONS_SUB_SUB_CMP,Homo sapiens,9606,100,FALSE,Homo sapiens,9606,True,1,1,1,1,0,6,False,TRUE
MISEQ01:3:000000000-ALULJ:1:2107:15932:26489_CONS_SUB_SUB,Homo sapiens,9606,100,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MISEQ01:3:000000000-ALULJ:1:2107:19229:5176_CONS_SUB_SUB,Persephona crinita,1240053,99.66,FALSE,Persephona crinita,1240053,True,1,0.991,0.991,1,0,14,False,TRUE
MISEQ01:3:000000000-ALULJ:1:2108:11594:6122_CONS_SUB_SUB,NA,NA,NA,NA,Latreutes parvulus,1837157,True,1,1,1,1,0,15,False,NA
MISEQ01:3:000000000-ALULJ:1:2108:22359:16337_CONS_SUB_SUB_CMP,Clausocalanus furcatus,149001,99.68,FALSE,Clausocalanus furcatus,149001,True,1,1,1,1,0,6,False,TRUE
MISEQ01:3:000000000-ALULJ:1:2110:15673:1948_CONS_SUB_SUB,Selene setapinnis,179369,100,TRUE,Selene setapinnis,179369,True,2,0.966,0.012,2,0,16,False,TRUE
MISEQ01:3:000000000-ALULJ:1:2110:16549:22601_CONS_SUB_SUB_CMP,Trichoderma gamsii,398673,98.08,FALSE,Trichoderma asperellum,101201,True,3,0.681,0.002,5,2,40,False,FALSE
MISEQ01:3:000000000-ALULJ:1:2110:20601:6944_CONS_SUB_SUB,Lagodon rhomboides,50351,99.63,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MISEQ01:3:000000000-ALULJ:1:2111:16066:14006_CONS_SUB_SUB,Saurida brasiliensis,1226401,98.02,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MISEQ01:3:000000000-ALULJ:1:2111:21770:24087_CONS_SUB_SUB,Bolinichthys supralateralis,473300,99.04,FALSE,,123244,False,3,0.311,0.115,3,0,10,False,FALSE
MISEQ01:3:000000000-ALULJ:1:2111:23170:24601_CONS_SUB_SUB,Saurida brasiliensis,1226401,100,FALSE,Saurida brasiliensis,1226401,True,3,0.813,0.001,3,1,31,True,TRUE
MISEQ01:3:000000000-ALULJ:1:2113:14233:14277_CONS_SUB_SUB,Prionotus rubio,1412989,99.36,FALSE,Prionotus rubio,1412989,True,2,0.95,0.012,2,0,6,False,TRUE
MISEQ01:3:000000000-ALULJ:1:2114:11889:17236_CONS_SUB_SUB_CMP,Eucratodes agassizii,576822,98.81,FALSE,Eucratodes agassizii,576822,True,4,0.988,0.001,3,2,50,False,TRUE
MISEQ01:3:000000000-ALULJ:1:2114:16705:7300_CONS_SUB_SUB,Oncaea waldemari,557829,97.73,FALSE,Oncaea waldemari,557829,True,1,1,1,1,0,6,False,TRUE
