OTU_SEQID,BLAST_SPECIES,BLAST_NCBI_TAXID,BLAST_IDENTITY,IS_PREDATOR,SAP_SPECIES,SAP_NCBI_TAXID,SpeciesLevel,SpeciesCount,SpeciesProbMax,SpeciesProbMin,HomologuesToAnalyzeCount,HomologuesSuspiciousRecordsCount,HomologueCount,DatabaseNotExhausted,IS_MATCH
M01896:197:000000000-ANEHB:1:1105:12564:28842_CONS_SUB_SUB,NA,NA,NA,NA,,13322,False,2,0.631,0.226,2,0,8,False,NA
M01896:197:000000000-ANEHB:1:1105:14017:28479_CONS_SUB_SUB_CMP,NA,NA,NA,NA,,6681,False,2,0.779,0.017,1,0,46,False,NA
M01896:197:000000000-ANEHB:1:1105:18009:7152_CONS_SUB_SUB_CMP,NA,NA,NA,NA,Robinsia catherinae,118149,True,1,1,1,1,0,50,False,NA
M01896:197:000000000-ANEHB:1:1105:24474:13201_CONS_SUB_SUB,NA,NA,NA,NA,,7711,False,2,0.42,0.282,2,0,35,True,NA
M01896:197:000000000-ANEHB:1:1105:3482:17655_CONS_SUB_SUB,Upeneus parvus,461258,98.74,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M01896:197:000000000-ANEHB:1:1105:3742:9110_CONS_SUB_SUB_CMP,NA,NA,NA,NA,,13763,False,2,0.304,0.303,2,0,17,False,NA
M01896:197:000000000-ANEHB:1:1105:5721:16825_CONS_SUB_SUB_CMP,NA,NA,NA,NA,,8157,False,3,1,0.082,3,0,14,False,NA
M01896:197:000000000-ANEHB:1:1106:11753:20154_CONS_SUB_SUB_CMP,Trichoderma reesei,51453,97.76,FALSE,Trichoderma reesei,51453,True,1,1,1,7,1,50,False,TRUE
M01896:197:000000000-ANEHB:1:1106:15829:24144_CONS_SUB_SUB,NA,NA,NA,NA,,186623,False,4,0.261,0.054,2,1,10,True,NA
M01896:197:000000000-ANEHB:1:1106:17609:24078_CONS_SUB_SUB,Polyonyx gibbesi,404952,97.55,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M01896:197:000000000-ANEHB:1:1106:25470:8391_CONS_SUB_SUB,Cheilopogon furcatus,938382,98.08,FALSE,,76072,False,3,0.181,0.029,16,4,50,False,FALSE
M01896:197:000000000-ANEHB:1:1106:25792:14156_CONS_SUB_SUB,NA,NA,NA,NA,,30850,False,2,0.3,0.268,7,2,39,False,NA
M01896:197:000000000-ANEHB:1:1106:26072:7027_CONS_SUB_SUB,NA,NA,NA,NA,,30850,False,2,0.258,0.25,6,0,38,False,NA
M01896:197:000000000-ANEHB:1:1106:7335:24755_CONS_SUB_SUB,NA,NA,NA,NA,,13322,False,2,0.605,0.173,1,0,10,False,NA
M01896:197:000000000-ANEHB:1:1107:7857:19678_CONS_SUB_SUB,Exocoetidae sp. BOLD:AAG2008,1182821,99.67,FALSE,,76072,False,1,0.873,0.873,12,3,50,False,FALSE
M01896:197:000000000-ANEHB:1:1107:8644:17074_CONS_SUB_SUB,NA,NA,NA,NA,,8157,True,2,0.956,0.015,2,0,9,False,NA
M01896:197:000000000-ANEHB:1:1108:15598:7697_CONS_SUB_SUB,Prognathodes sp. BOLD:AAG2009,1182839,99.68,FALSE,,186623,False,2,0.259,0.222,16,4,44,False,FALSE
M01896:197:000000000-ANEHB:1:1108:21083:22439_CONS_SUB_SUB,Synagrops bellus,107766,99.04,FALSE,,107765,False,3,0.422,0.009,2,0,29,False,FALSE
M01896:197:000000000-ANEHB:1:1108:3066:10627_CONS_SUB_SUB_CMP,Centropristis philadelphica,451889,100,FALSE,Centropristis philadelphica,451889,True,1,1,1,1,0,23,False,TRUE
M01896:197:000000000-ANEHB:1:1109:10301:15571_CONS_SUB_SUB_CMP,Xyrichtys novacula,13765,100,FALSE,,13763,False,2,0.655,0.167,4,0,50,False,FALSE
M01896:197:000000000-ANEHB:1:1109:11706:16960_CONS_SUB_SUB,Hemanthias leptus,274791,100,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M01896:197:000000000-ANEHB:1:1109:11922:4847_CONS_SUB_SUB,Alepisaurus ferox,88653,99.04,FALSE,,88652,False,2,0.689,0.161,2,0,22,False,FALSE
M01896:197:000000000-ANEHB:1:1109:14045:19240_CONS_SUB_SUB,Lutjanus synagris,40496,97.46,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M01896:197:000000000-ANEHB:1:1109:14293:20369_CONS_SUB_SUB,Centropristis philadelphica,451889,100,FALSE,Centropristis philadelphica,451889,True,2,0.995,0.001,1,0,50,False,TRUE
M01896:197:000000000-ANEHB:1:1109:15341:24052_CONS_SUB_SUB_CMP,aff. Protosuberites sp. 190513-06,1518554,98.4,FALSE,,55660,False,4,0.998,0.003,21,5,31,False,FALSE
M01896:197:000000000-ANEHB:1:1109:17569:17327_CONS_SUB_SUB_CMP,Ocypode quadrata,53310,100,FALSE,Ocypode quadrata,53310,True,2,0.998,0.001,1,0,14,False,TRUE
M01896:197:000000000-ANEHB:1:1109:18349:26666_CONS_SUB_SUB_CMP,Lutjanus purpureus,454142,100,FALSE,,186623,False,3,0.338,0.003,15,0,46,False,FALSE
M01896:197:000000000-ANEHB:1:1109:19588:23994_CONS_SUB_SUB_CMP,Coryphaena hippurus,34814,100,TRUE,,7711,False,2,0.417,0.1,3,2,6,False,FALSE
M01896:197:000000000-ANEHB:1:1109:25782:11263_CONS_SUB_SUB_CMP,NA,NA,NA,NA,,7711,False,1,1,1,5,1,50,False,NA
M01896:197:000000000-ANEHB:1:1110:10766:3025_CONS_SUB_SUB_CMP,Archosargus probatocephalus,119682,100,TRUE,,119681,False,3,0.831,0.008,1,0,45,False,FALSE
M01896:197:000000000-ANEHB:1:1110:10771:26031_CONS_SUB_SUB,Portunus gibbesii,372818,98.18,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M01896:197:000000000-ANEHB:1:1110:12659:14149_CONS_SUB_SUB_CMP,Dermatophagoides farinae,6954,100,FALSE,Dermatophagoides farinae,6954,True,1,1,1,1,0,11,False,TRUE
M01896:197:000000000-ANEHB:1:1110:12705:12304_CONS_SUB_SUB_CMP,Mycteroperca xenarcha,320403,100,FALSE,Mycteroperca xenarcha,320403,True,2,0.998,0.002,7,0,30,False,TRUE
M01896:197:000000000-ANEHB:1:1110:13656:10248_CONS_SUB_SUB,Hirundichthys affinis,76074,99.68,FALSE,,7711,False,3,0.264,0.098,15,1,50,True,FALSE
M01896:197:000000000-ANEHB:1:1110:17262:22043_CONS_SUB_SUB,Alpheus floridanus,87360,100,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M01896:197:000000000-ANEHB:1:1110:18479:9229_CONS_SUB_SUB_CMP,Notiospathius sp. DORYC155-11,1239614,99.36,FALSE,,50557,False,5,0.022,0.007,5,0,37,False,FALSE
M01896:197:000000000-ANEHB:1:1110:22048:15817_CONS_SUB_SUB_CMP,Panulirus argus,6737,99.68,FALSE,Panulirus argus,6737,True,1,1,1,1,0,6,False,TRUE
M01896:197:000000000-ANEHB:1:1110:22181:20375_CONS_SUB_SUB_CMP,Porichthys plectrodon,472765,100,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M01896:197:000000000-ANEHB:1:1110:24365:13301_CONS_SUB_SUB,Cheilopogon furcatus,938382,98.4,FALSE,,76072,False,3,0.262,0.028,16,4,50,False,FALSE
M01896:197:000000000-ANEHB:1:1110:3030:10366_CONS_SUB_SUB,Speocarcinus lobatus,576842,98.57,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M01896:197:000000000-ANEHB:1:1110:5505:15489_CONS_SUB_SUB,NA,NA,NA,NA,Homola barbata,1129511,True,1,1,1,1,0,50,False,NA
M01896:197:000000000-ANEHB:1:1110:7052:13492_CONS_SUB_SUB,NA,NA,NA,NA,,186623,False,2,0.841,0.026,4,0,50,False,NA
M01896:197:000000000-ANEHB:1:1110:7073:17819_CONS_SUB_SUB_CMP,Lagodon rhomboides,50351,99.4,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M01896:197:000000000-ANEHB:1:1111:17033:15123_CONS_SUB_SUB,Phaeoptyx pigmentaria,588194,99.68,FALSE,,7711,False,2,0.578,0.161,2,1,6,False,FALSE
M01896:197:000000000-ANEHB:1:1111:18046:28578_CONS_SUB_SUB_CMP,Penicillium verrucosum,60171,99.29,FALSE,,5073,False,2,0.476,0.073,25,7,50,False,FALSE
M01896:197:000000000-ANEHB:1:1111:22178:10174_CONS_SUB_SUB_CMP,NA,NA,NA,NA,,7711,False,2,0.006,0.005,8,2,50,False,NA
M01896:197:000000000-ANEHB:1:1111:6678:18637_CONS_SUB_SUB,Peprilus triacanthus,183653,100,FALSE,,7711,False,2,0.264,0.253,4,0,38,False,FALSE
M01896:197:000000000-ANEHB:1:1111:8603:15665_CONS_SUB_SUB,Thunnus tonggol,48169,100,FALSE,Thunnus albacares,8236,False,7,0.943,0.002,11,0,44,False,FALSE
M01896:197:000000000-ANEHB:1:1111:9502:26986_CONS_SUB_SUB_CMP,Acanthocybium solandri,13323,100,TRUE,,13322,False,2,0.725,0.124,2,0,38,False,FALSE
M01896:197:000000000-ANEHB:1:1112:14445:2626_CONS_SUB_SUB,Caranx crysos,173309,100,FALSE,,186623,False,2,0.422,0.101,2,1,26,False,FALSE
M01896:197:000000000-ANEHB:1:1112:15590:3560_CONS_SUB_SUB,Decapterus sp. BOLD:AAI3669,1716535,100,FALSE,,8157,False,5,0.174,0.001,7,0,25,False,FALSE
M01896:197:000000000-ANEHB:1:1112:15808:7827_CONS_SUB_SUB,Prionotus alatus,1459834,99.11,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M01896:197:000000000-ANEHB:1:1112:16339:26363_CONS_SUB_SUB_CMP,Actinopterygii environmental sample,1184603,99.35,FALSE,,43062,False,2,0.277,0.112,8,0,22,False,FALSE
M01896:197:000000000-ANEHB:1:1112:19290:10285_CONS_SUB_SUB,Farfantepenaeus aztecus,6690,98.92,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M01896:197:000000000-ANEHB:1:1112:19390:2481_CONS_SUB_SUB,Myctophum obtusirostre,1519986,97.44,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M01896:197:000000000-ANEHB:1:1112:2096:13004_CONS_SUB_SUB,Trachinocephalus myops,172131,100,TRUE,Trachinocephalus myops,172131,True,1,1,1,1,0,6,False,TRUE
M01896:197:000000000-ANEHB:1:1112:3026:11009_CONS_SUB_SUB_CMP,Thunnus sp. MYS-restaurant-1,1719343,98.91,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M01896:197:000000000-ANEHB:1:1112:3058:10827_CONS_SUB_SUB,Engraulis encrasicolus,184585,98.27,FALSE,,7711,False,5,0.201,0.005,5,1,44,False,FALSE
M01896:197:000000000-ANEHB:1:1113:11889:22092_CONS_SUB_SUB_CMP,Trachypenaeopsis mobilispinis,406079,100,FALSE,Trachypenaeopsis mobilispinis,406079,True,1,1,1,1,0,22,False,TRUE
M01896:197:000000000-ANEHB:1:1113:12302:18214_CONS_SUB_SUB,Ophichthus gomesii,260503,100,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M01896:197:000000000-ANEHB:1:1113:13881:23448_CONS_SUB_SUB,Hoplunnis macrura,1459830,100,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M01896:197:000000000-ANEHB:1:1113:17602:7530_CONS_SUB_SUB_CMP,NA,NA,NA,NA,,649070,True,1,1,1,1,0,6,False,NA
M01896:197:000000000-ANEHB:1:1113:3026:10846_CONS_SUB_SUB,Speocarcinus lobatus,576842,98.57,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M01896:197:000000000-ANEHB:1:1113:8161:17508_CONS_SUB_SUB,Gobionellus oceanicus,721864,98.13,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M01896:197:000000000-ANEHB:1:1114:11541:19098_CONS_SUB_SUB,Selene setapinnis,179369,97.01,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M01896:197:000000000-ANEHB:1:1114:11991:2882_CONS_SUB_SUB_CMP,Engraulidae sp. BOLD:AAG4822,722528,99.68,FALSE,,7711,False,2,0.377,0.286,8,0,46,False,FALSE
M01896:197:000000000-ANEHB:1:1114:12029:10746_CONS_SUB_SUB,Engraulis encrasicolus,184585,100,FALSE,,7711,False,4,0.221,0.001,11,1,39,False,FALSE
M01896:197:000000000-ANEHB:1:1114:15078:23482_CONS_SUB_SUB_CMP,Megabalanus coccopoma,864464,99.36,FALSE,,37806,False,3,0.017,0.001,5,1,35,False,FALSE
M01896:197:000000000-ANEHB:1:1114:20399:7218_CONS_SUB_SUB_CMP,Speocarcinus lobatus,576842,98,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M01896:197:000000000-ANEHB:1:1114:21097:13493_CONS_SUB_SUB_CMP,NA,NA,NA,NA,,30850,False,2,0.294,0.292,8,0,36,False,NA
M01896:197:000000000-ANEHB:1:1114:5394:10147_CONS_SUB_SUB_CMP,Frevillea barbata,576826,99.27,FALSE,Frevillea barbata,576826,True,1,1,1,1,0,50,False,TRUE
M01896:197:000000000-ANEHB:1:2101:11816:23483_CONS_SUB_SUB,Stenotomus caprinus,723543,100,FALSE,,7711,False,2,0.36,0.28,2,0,43,True,FALSE
M01896:197:000000000-ANEHB:1:2101:13525:8423_CONS_SUB_SUB,Sphyraena jello,445362,97.65,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M01896:197:000000000-ANEHB:1:2101:14245:13303_CONS_SUB_SUB,Lutjanus griseus,40503,100,TRUE,,30850,False,2,0.352,0.308,8,0,50,False,FALSE
M01896:197:000000000-ANEHB:1:2101:20228:15594_CONS_SUB_SUB,Diacavolinia longirostris,1286080,100,FALSE,,1286079,True,1,1,1,1,0,6,False,FALSE
M01896:197:000000000-ANEHB:1:2101:24026:8388_CONS_SUB_SUB_CMP,Metaltella simoni,389063,99.04,FALSE,Metaltella simoni,389063,True,1,1,1,1,0,50,False,TRUE
M01896:197:000000000-ANEHB:1:2101:28654:15588_CONS_SUB_SUB_CMP,NA,NA,NA,NA,,7711,False,2,0.195,0.001,16,5,50,False,NA
M01896:197:000000000-ANEHB:1:2101:3048:11358_CONS_SUB_SUB_CMP,Rhizoprionodon terraenovae,303945,97.92,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M01896:197:000000000-ANEHB:1:2101:5056:9932_CONS_SUB_SUB,Sardinella aurita,196071,97.98,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M01896:197:000000000-ANEHB:1:2102:13268:16485_CONS_SUB_SUB,Hematodinium sp.,173654,97.47,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M01896:197:000000000-ANEHB:1:2102:17763:6878_CONS_SUB_SUB_CMP,Illex illecebrosus,6629,99.68,FALSE,,6627,False,4,0.741,0.01,4,0,38,False,FALSE
M01896:197:000000000-ANEHB:1:2102:3315:14298_CONS_SUB_SUB,Stegastes partitus,144197,100,FALSE,,186623,False,2,0.189,0.189,3,1,8,False,FALSE
M01896:197:000000000-ANEHB:1:2102:6636:9015_CONS_SUB_SUB,Gobionellus oceanicus,721864,98.71,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M01896:197:000000000-ANEHB:1:2103:16311:8745_CONS_SUB_SUB_CMP,Farfantepenaeus aztecus,6690,100,FALSE,Farfantepenaeus aztecus,6690,True,1,1,1,1,0,6,False,TRUE
M01896:197:000000000-ANEHB:1:2103:18115:28120_CONS_SUB_SUB,Pogonias cromis,329431,99.04,TRUE,Pogonias cromis,329431,True,1,1,1,1,0,44,False,TRUE
M01896:197:000000000-ANEHB:1:2103:18712:14701_CONS_SUB_SUB,Euthynnus alletteratus,8228,97.22,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M01896:197:000000000-ANEHB:1:2103:2069:15268_CONS_SUB_SUB_CMP,Rhizoprionodon terraenovae,303945,100,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M01896:197:000000000-ANEHB:1:2103:23011:26983_CONS_SUB_SUB,Lichia amia,425389,99.36,FALSE,,8157,True,3,0.986,0.001,5,0,7,False,FALSE
M01896:197:000000000-ANEHB:1:2103:9628:8035_CONS_SUB_SUB_CMP,Mullus auratus,1286129,97.4,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M01896:197:000000000-ANEHB:1:2104:10232:5638_CONS_SUB_SUB,Etrumeus teres,224716,100,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M01896:197:000000000-ANEHB:1:2104:11323:21712_CONS_SUB_SUB_CMP,Isarachnanthus nocturnus,1240238,98.72,FALSE,,37512,False,1,0.013,0.013,3,0,6,False,FALSE
M01896:197:000000000-ANEHB:1:2104:12085:21234_CONS_SUB_SUB_CMP,Nomeus gronovii,1003968,98.06,FALSE,,215399,False,3,0.005,0.002,2,1,50,False,FALSE
M01896:197:000000000-ANEHB:1:2104:12963:22976_CONS_SUB_SUB_CMP,NA,NA,NA,NA,Euthynnus alletteratus,8228,True,1,1,1,1,0,12,False,NA
M01896:197:000000000-ANEHB:1:2104:16807:5263_CONS_SUB_SUB,NA,NA,NA,NA,,7711,False,4,0.275,0.02,5,0,50,True,NA
M01896:197:000000000-ANEHB:1:2104:18715:14092_CONS_SUB_SUB,Citharichthys cornutus,1282419,97.03,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M01896:197:000000000-ANEHB:1:2104:8896:12302_CONS_SUB_SUB,Euthynnus alletteratus,8228,100,FALSE,Euthynnus alletteratus,8228,True,2,0.998,0.002,3,0,47,False,TRUE
M01896:197:000000000-ANEHB:1:2105:10594:4653_CONS_SUB_SUB_CMP,NA,NA,NA,NA,,6683,False,3,0.955,0.003,1,0,6,True,NA
M01896:197:000000000-ANEHB:1:2105:19680:28522_CONS_SUB_SUB,Mullus auratus,1286129,100,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M01896:197:000000000-ANEHB:1:2105:20516:20403_CONS_SUB_SUB_CMP,NA,NA,NA,NA,Farfantepenaeus aztecus,6690,True,1,1,1,1,0,6,False,NA
M01896:197:000000000-ANEHB:1:2105:23404:6025_CONS_SUB_SUB,Neoconger mucronatus,722442,100,FALSE,Neoconger mucronatus,722442,True,1,1,1,1,0,6,False,TRUE
M01896:197:000000000-ANEHB:1:2105:6733:7199_CONS_SUB_SUB_CMP,Bathygobius cocosensis,166735,98.71,FALSE,Bathygobius cocosensis,166735,True,3,0.982,0.001,1,0,26,False,TRUE
M01896:197:000000000-ANEHB:1:2106:11363:22442_CONS_SUB_SUB_CMP,Lutjanus griseus,40503,98.05,TRUE,,30850,False,3,0.241,0.012,8,2,50,False,FALSE
M01896:197:000000000-ANEHB:1:2106:23303:25800_CONS_SUB_SUB_CMP,NA,NA,NA,NA,,7711,False,2,1,0.043,17,4,50,True,NA
M01896:197:000000000-ANEHB:1:2107:15779:23509_CONS_SUB_SUB,Uroconger syringinus,391211,100,FALSE,,189924,False,2,0.001,0.001,4,0,36,False,FALSE
M01896:197:000000000-ANEHB:1:2107:22365:21034_CONS_SUB_SUB_CMP,Illex cf. coindetii DBC-2006,370614,99.68,FALSE,,551290,False,6,0.143,0.071,3,3,6,True,FALSE
M01896:197:000000000-ANEHB:1:2107:25431:12405_CONS_SUB_SUB,Rhizoprionodon terraenovae,303945,98.88,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M01896:197:000000000-ANEHB:1:2107:26279:17669_CONS_SUB_SUB,Doryteuthis pleii,1051068,97.2,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M01896:197:000000000-ANEHB:1:2107:7229:15431_CONS_SUB_SUB,Katsuwonus pelamis,8226,99.68,FALSE,,7711,False,3,0.197,0.184,5,2,40,False,FALSE
M01896:197:000000000-ANEHB:1:2108:10301:23371_CONS_SUB_SUB,Emiliania huxleyi,2903,99.68,FALSE,Emiliania huxleyi,2903,True,1,1,1,3,1,6,False,TRUE
M01896:197:000000000-ANEHB:1:2108:12027:2307_CONS_SUB_SUB,Elagatis bipinnulata,173324,100,TRUE,,173323,True,2,1,0.999,1,0,8,False,FALSE
M01896:197:000000000-ANEHB:1:2108:14459:12858_CONS_SUB_SUB,Anser canagica,107021,99.36,FALSE,,8782,False,8,0.112,0.004,6,5,38,True,FALSE
M01896:197:000000000-ANEHB:1:2108:22379:17378_CONS_SUB_SUB,NA,NA,NA,NA,,7777,False,4,0.623,0.004,4,0,38,False,NA
M01896:197:000000000-ANEHB:1:2109:10350:17832_CONS_SUB_SUB,Euthynnus alletteratus,8228,99.55,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M01896:197:000000000-ANEHB:1:2109:22495:27218_CONS_SUB_SUB_CMP,NA,NA,NA,NA,,186623,False,11,0.058,0.019,11,0,40,False,NA
M01896:197:000000000-ANEHB:1:2110:10762:2432_CONS_SUB_SUB,Sus scrofa,9823,100,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M01896:197:000000000-ANEHB:1:2110:26518:16723_CONS_SUB_SUB,NA,NA,NA,NA,Lonchopisthus micrognathus,1311555,True,1,1,1,1,0,8,False,NA
M01896:197:000000000-ANEHB:1:2110:5208:19828_CONS_SUB_SUB,NA,NA,NA,NA,,7711,False,4,0.19,0.015,3,0,36,True,NA
M01896:197:000000000-ANEHB:1:2111:11094:11502_CONS_SUB_SUB,Rhizoprionodon terraenovae,303945,99.61,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M01896:197:000000000-ANEHB:1:2111:12302:22790_CONS_SUB_SUB_CMP,Cladosporium bruhnei,450181,99.39,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M01896:197:000000000-ANEHB:1:2111:19713:21246_CONS_SUB_SUB,Rhizoprionodon terraenovae,303945,100,TRUE,Rhizoprionodon terraenovae,303945,False,3,0.884,0.001,29,0,50,False,TRUE
M01896:197:000000000-ANEHB:1:2111:20114:16370_CONS_SUB_SUB,Sargocentron vexillarium,245691,100,FALSE,Sargocentron vexillarium,245691,True,2,0.99,0.001,2,0,31,True,TRUE
M01896:197:000000000-ANEHB:1:2111:28940:18571_CONS_SUB_SUB,NA,NA,NA,NA,,13763,False,2,0.468,0.317,2,0,24,False,NA
M01896:197:000000000-ANEHB:1:2112:17083:12483_CONS_SUB_SUB,Rhomboplites aurorubens,40507,100,TRUE,,186623,False,4,0.996,0.001,6,0,43,False,FALSE
M01896:197:000000000-ANEHB:1:2112:6481:24733_CONS_SUB_SUB,Farfantepenaeus aztecus,6690,98.97,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M01896:197:000000000-ANEHB:1:2113:12731:11690_CONS_SUB_SUB,Thunnus obesus,8241,97.36,FALSE,,186623,False,7,0.036,0.001,11,0,50,False,FALSE
M01896:197:000000000-ANEHB:1:2113:25739:6560_CONS_SUB_SUB,Squatina dumeril,303946,99.68,FALSE,Squatina dumeril,303946,True,1,1,1,8,0,18,False,TRUE
M01896:197:000000000-ANEHB:1:2114:1805:15069_CONS_SUB_SUB_CMP,Balanus trigonus,756461,100,FALSE,Balanus trigonus,756461,True,1,1,1,1,0,27,False,TRUE
M01896:197:000000000-ANEHB:1:2114:3226:10707_CONS_SUB_SUB_CMP,Rhizoprionodon terraenovae,303945,100,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M01896:197:000000000-ANEHB:1:2114:5791:20174_CONS_SUB_SUB,NA,NA,NA,NA,,8157,True,2,0.981,0.01,2,0,8,False,NA
MISEQ01:3:000000000-ALULJ:1:1101:16241:21890_CONS_SUB_SUB_CMP,Paracalanus quasimodo,1267145,99.68,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MISEQ01:3:000000000-ALULJ:1:1101:21043:13543_CONS_SUB_SUB,Scomberomorus cavalla,13679,98.51,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MISEQ01:3:000000000-ALULJ:1:1101:25790:15966_CONS_SUB_SUB_CMP,Seriola zonata,173334,100,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MISEQ01:3:000000000-ALULJ:1:1101:2885:13739_CONS_SUB_SUB_CMP,NA,NA,NA,NA,,5543,False,3,0.184,0.001,5,1,24,False,NA
MISEQ01:3:000000000-ALULJ:1:1102:14010:4311_CONS_SUB_SUB_CMP,Hoplunnis macrura,1459830,98.23,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MISEQ01:3:000000000-ALULJ:1:1102:16042:28661_CONS_SUB_SUB,NA,NA,NA,NA,,7711,False,4,1,0.001,1,0,37,False,NA
MISEQ01:3:000000000-ALULJ:1:1102:22262:20767_CONS_SUB_SUB,Syacium papillosum,195649,100,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MISEQ01:3:000000000-ALULJ:1:1102:22348:10046_CONS_SUB_SUB,Cynoscion arenarius,80640,99.68,FALSE,,13028,False,2,0.898,0.059,5,0,36,False,FALSE
MISEQ01:3:000000000-ALULJ:1:1102:24133:19761_CONS_SUB_SUB,NA,NA,NA,NA,,50557,False,2,0.034,0.016,2,1,6,True,NA
MISEQ01:3:000000000-ALULJ:1:1102:3709:10089_CONS_SUB_SUB,Prionotus alatus,1459834,97.02,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MISEQ01:3:000000000-ALULJ:1:1103:16888:28308_CONS_SUB_SUB,Prionotus stearnsi,1459835,100,FALSE,,186623,True,1,0.98,0.98,1,0,8,False,FALSE
MISEQ01:3:000000000-ALULJ:1:1103:17094:27757_CONS_SUB_SUB,Squilla empusa,84350,99.36,FALSE,Squilla empusa,84350,True,1,0.999,0.999,1,0,34,False,TRUE
MISEQ01:3:000000000-ALULJ:1:1103:26501:6737_CONS_SUB_SUB_CMP,uncultured Jiaozhou Bay zooplankton,232018,100,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MISEQ01:3:000000000-ALULJ:1:1103:27420:10969_CONS_SUB_SUB,Mugil curema,48194,98.95,FALSE,,186623,False,5,0.01,0.003,7,0,50,False,FALSE
MISEQ01:3:000000000-ALULJ:1:1103:3723:9029_CONS_SUB_SUB_CMP,Sardinella aurita,196071,99.04,TRUE,,96885,False,5,0.004,0.001,5,0,17,False,FALSE
MISEQ01:3:000000000-ALULJ:1:1103:4797:17212_CONS_SUB_SUB_CMP,NA,NA,NA,NA,,5498,False,4,0.946,0.005,3,0,6,True,NA
MISEQ01:3:000000000-ALULJ:1:1104:17103:17086_CONS_SUB_SUB,Micropogonias undulatus,29154,99.01,FALSE,,7711,False,3,0.189,0.178,6,3,50,False,FALSE
MISEQ01:3:000000000-ALULJ:1:1105:12015:25110_CONS_SUB_SUB_CMP,Cyclopsetta chittendeni,329465,100,TRUE,,329464,False,3,0.865,0.002,2,0,6,False,FALSE
MISEQ01:3:000000000-ALULJ:1:1105:17716:27119_CONS_SUB_SUB_CMP,Euscelis maculipennis,1656480,100,FALSE,,30102,False,2,0.348,0.322,2,2,6,False,FALSE
MISEQ01:3:000000000-ALULJ:1:1105:19990:5052_CONS_SUB_SUB,Fujientomon dicestum,289458,100,FALSE,,6656,True,1,0.998,0.998,1,0,6,False,FALSE
